Eb_N0_dB,Simulated_BER,Theoretical_BER
-3,0.1561,0.15836831880959795
-2,0.13117,0.13064448852282917
-1,0.10562,0.10375909595340632
0,0.07787,0.07864960352514258
1,0.05587,0.05628195197654147
2,0.03751,0.037506128358925986
3,0.02271,0.022878407561085327
4,0.01282,0.012500818040737553
5,0.00627,0.005953867147778662
6,0.0024,0.002388290780932807
7,0.0007,0.0007726748153784446
8,0.00021,0.00019090777407599314
9,3.566666666666667e-05,3.3627228419617505e-05
10,3.3e-06,3.872108215522035e-06
